Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;7F4003;2018-02-11;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0310028;VOLLEY-BALL CLUB TOULOUSAIN; 3/1;20-25,25-21,25-20,25-17;95-83;RIVIÈRE;;;;
LILR;02;7F4008;2018-01-21;10:00;0117601;CASTELNAUDARY VB;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/0;25-9,25-6,25-9;75-24;GYMNASE COUBERTIN;;;;
LILR;03;7F4012;2018-01-28;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0319689;A.S. DE L'UNION VOLLEY-BALL; 3/2;20-25,25-27,25-13,25-21,17-15;112-101;RIVIÈRE;;;;
LILR;04;7F4014;2018-02-03;16:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 0/3;8-25,6-25,12-25;26-75;RIVIÈRE;;;;
LILR;06;7F4023;2018-03-25;10:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/0;25-18,25-16,25-14;75-48;LA CAYRIE;;;;
LILR;07;7F4026;2018-04-08;16:00;0310022;AVENIR FONSORBAIS VOLLEY-BALL 1;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/0;25-21,25-17,25-20;75-58;COMPLEXE SPORTIF DE BELESTA;;;;
