Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;PF4003;2018-01-27;20:00;0310028;VOLLEY-BALL CLUB TOULOUSAIN;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 3/2;18-25,25-23,25-23,18-25,15-9;101-105;GYMNASE TOULOUSE LAUTREC;COMBELLES LOIC;;;
LILR;02;PF4004;2018-02-03;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0310022;AVENIR FONSORBAIS VOLLEY-BALL; 3/1;25-18,25-19,18-25,27-25;95-87;RIVIÈRE;JOUY RICHARD;;;
LILR;03;PF4009;2018-03-10;18:30;0812323;AUTAN VOLLEY-BALL;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 0/3;19-25,12-25,13-25;44-75;GYMNASE PUYLAURENS;COSNARD THIBAULT;;;
LILR;04;PF4012;2018-03-17;20:00;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0310028;VOLLEY-BALL CLUB TOULOUSAIN; 3/2;19-25,25-21,15-25,25-17,15-12;99-100;RIVIÈRE;AURIOL ALAIN;;;
LILR;05;PF4013;2018-03-24;18:00;0310022;AVENIR FONSORBAIS VOLLEY-BALL;0319125;SPORTING CLUB PLAISANCE TOUCH 1; 1/3;23-25,25-20,21-25,25-27;94-97;COMPLEXE SPORTIF DE BELESTA;SAUVY VALENTIN;;;
LILR;06;PF4018;2018-04-07;20:30;0319125;SPORTING CLUB PLAISANCE TOUCH 1;0812323;AUTAN VOLLEY-BALL; 3/1;23-25,25-19,25-19,25-22;98-85;RIVIÈRE;LARRIEU CHRISTEL;;;
