Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;7F1003;2017-10-15;10:00;0318376;CLUB OLYMPIQUE CARBONNAIS;0319125;SPORTING CLUB PLAISANCE TOUCH; 0/3;3-25,13-25,14-25;30-75;GYMNASE DU COLLÈGE ANDRE ABBAL;;;;
LILR;02;7F1005;2017-11-19;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0317037;GRENADE VOLLEY BALL; 3/0;25-20,25-13,25-23;75-56;RIVIÈRE;;;;
LILR;03;7F1008;2017-11-26;13:00;0310022;AVENIR FONSORBAIS VOLLEY-BALL 2;0319125;SPORTING CLUB PLAISANCE TOUCH; 2/3;18-25,25-21,22-25,25-21,10-15;100-107;COMPLEXE SPORTIF DE BELESTA;;;;
LILR;04;7F1012;2017-12-09;14:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0656864;TARBES ODOS PYRENEES VOLLEY-BALL; 3/0;25-20,25-13,25-20;75-53;RIVIÈRE;;;;
LILR;05;7F1013;2017-12-17;10:00;0657739;VOLLEY BALL LOURDAIS;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/0;25-13,25-17,25-13;75-43;POUEYFERRE;;;;
